image,root_label,wavelength_firstpeak_mm,wavelength_firstpeak_err_mm,wavelength_fit_mm,wavelength_fit_err_mm,fit_success,fit_rmse,peak_lag_index,n_theta_samples,main_length_mm
AT_240422_Col_vertical_IMG_0003.png,1,14.333333333333332,0.5149039787451765,20.55933469789203,0.952269149564918,True,0.12908555621342607,43,249,91.62750416634674
AT_240422_Col_vertical_IMG_0003.png,2,19.333333333333332,2.5304660322405526,20.030812522668658,1.5797978141374198,True,0.16560197927806025,58,259,94.85533905932738
AT_240422_Col_vertical_IMG_0003.png,3,3.0,0.3333333333333333,2.8964904939552305,0.08020401439668788,True,0.15298579789979455,9,255,93.64230996048536
AT_240422_Col_vertical_IMG_0003.png,4,14.0,0.3333333333333333,12.569664436682848,0.9709400743391169,True,0.1851357416368902,42,256,93.84472097616325
AT_240422_Col_vertical_IMG_0003.png,5,8.666666666666666,0.3333333333333333,8.272024905775964,0.2589423598691869,True,0.1637566315514897,26,211,78.84543947377588
AT_240422_Col_vertical_IMG_0003.png,6,10.0,2.283219317330877,9.626640343984565,0.36649891816501073,True,0.1584534785466569,30,228,84.42162393730698
AT_240422_Col_vertical_IMG_0003.png,7,3.333333333333333,0.4515157981191168,3.336888681494508,0.18814384990867353,True,0.1472366116582164,10,220,81.80990556784315
AT_240422_Col_vertical_IMG_0003.png,8,6.0,0.3333333333333333,5.61860885007481,0.4256211186584706,True,0.1840126879008598,18,202,75.93714822905824
Col-0_20220630112924-0001_1.0AgarTilted75.png,1,4.666666666666666,1.3443658524010846,4.68496066555525,0.22508521497353864,True,0.2002097163237,14,176,67.3189994874048
Col-0_20220630112924-0001_1.0AgarTilted75.png,2,4.0,1.1778018149108198,3.9624856680640255,0.2320167347793405,True,0.1826478353130899,12,188,71.01058197684007
Col-0_20220630112924-0001_1.0AgarTilted75.png,3,4.0,0.9519322968852487,4.031996303579157,0.22878926130921484,True,0.19327634660837495,12,186,70.34564991685434
Col-0_20220630112924-0001_1.0AgarTilted75.png,4,3.333333333333333,0.5562540903328526,3.0356598408588935,0.0943392904684954,True,0.1497615940061992,10,162,62.603009229735065
Col-0_20220630112924-0001_1.0AgarTilted75.png,5,3.333333333333333,0.3769807037072802,3.2581078140926736,0.5626383467350506,True,0.248969210802579,10,132,52.610876597149925
Col-0_20220630112924-0001_1.0AgarVertical.png,1,5.555555555555555,1.306368741425707,5.581496295676164,0.12932084126458687,True,0.1591899306359564,8,61,60.04856348558453
Col-0_20220630112924-0001_1.0AgarVertical.png,2,9.027777777777777,1.3573705014527715,16.442061001117512,7.954015589488641,True,0.24611772399098783,13,85,76.91818979779151
Col-0_20220630112924-0001_1.0AgarVertical.png,3,6.944444444444445,0.9631823013394029,6.082332758650244,0.54030206928221,True,0.1771082579224546,10,76,70.33118884345916
